fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
73.0,50.0,4.0,94.0,260.0,50.0,240.0,300.0,1.0,-29.836896824863,9.2636735198588
69.4,50.0,4.0,101.2,260.0,50.0,240.0,300.0,1.0,-23.395887781387,9.0068682585145
65.8,50.0,4.0,108.4,260.0,50.0,240.0,300.0,0.7759,-17.608230512402,8.096619663024972
62.2,50.0,4.0,115.6,260.0,50.0,240.0,300.0,0.9217,-19.192904910783,8.620959871125608
58.6,50.0,4.0,122.8,260.0,50.0,240.0,300.0,0.5113,-30.9624130434,7.323862308117367
55.0,50.0,4.0,130.0,260.0,50.0,240.0,300.0,0.7516,-28.520963671979,8.042218345972
51.4,50.0,4.0,137.2,260.0,50.0,240.0,300.0,0.7453,-25.426734149883,7.108777903842599
47.8,50.0,4.0,144.4,260.0,50.0,240.0,300.0,0.5626,-25.512761371182,5.720644111279206
44.2,50.0,4.0,151.6,260.0,50.0,240.0,300.0,0.5608,-37.778627895383,5.54868345008979
40.6,50.0,4.0,158.8,260.0,50.0,240.0,300.0,0.559,-29.322600528667,5.35564724140112
37.0,50.0,4.0,166.0,260.0,50.0,240.0,300.0,0.5581,-22.600074827086,5.266576596247341
33.4,50.0,4.0,173.2,260.0,50.0,240.0,300.0,0.5563,-19.480498216323,5.197316296003649
29.8,50.0,4.0,180.4,260.0,50.0,240.0,300.0,0.5554,-17.426330954765,5.273516302430744
26.2,50.0,4.0,187.6,260.0,50.0,240.0,300.0,0.5527,-15.572050555367,5.26857042448358
22.6,50.0,4.0,194.8,260.0,50.0,240.0,300.0,0.5518,-14.576682366182,5.176556531193526
19.0,50.0,4.0,202.0,260.0,50.0,240.0,300.0,0.55,-13.487929346497,5.2374330128196
73.0,50.0,4.0,94.0,140.0,56.125,240.0,300.0,1.0,-17.632791374078,9.6957800742173
69.4,50.0,4.0,101.2,140.0,56.125,240.0,300.0,0.6184,-15.402755279881,9.463913254077639
65.8,50.0,4.0,108.4,140.0,56.125,240.0,300.0,1.0,-13.435102251544,9.00931427176
62.2,50.0,4.0,115.6,140.0,56.125,240.0,300.0,0.9235,-15.453556209982,8.87613706040928
58.6,50.0,4.0,122.8,140.0,56.125,240.0,300.0,0.9154,-19.973552625901,9.377904754058248
