fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
65.73076923077,50.0,4.0,108.53846153846,159.0,53.9,240.0,300.0,0.5896,-15.656933920879,9.215117295389463
65.73076923077,50.0,4.0,108.53846153846,169.0,53.9,240.0,300.0,0.5842,-17.854595200273,9.118071918214568
65.73076923077,50.0,4.0,108.53846153846,179.0,53.9,240.0,300.0,0.5779,-20.913334967298,8.958125778156292
65.73076923077,50.0,4.0,108.53846153846,189.0,53.9,240.0,300.0,0.5725,-26.906031516056,8.76204318162275
65.73076923077,50.0,4.0,108.53846153846,199.0,53.9,240.0,300.0,0.5662,-48.324085736622,8.71254639949193
65.73076923077,50.0,4.0,108.53846153846,209.0,53.9,240.0,300.0,0.5599,-27.15764159517,8.782388923793343
65.73076923077,50.0,4.0,108.53846153846,219.0,53.9,240.0,300.0,0.6112,-35.964899981173,7.944634884367089
65.73076923077,50.0,4.0,108.53846153846,229.0,53.9,240.0,300.0,0.604,-22.26508887919,8.16791836706162
65.73076923077,50.0,4.0,108.53846153846,239.0,53.9,240.0,300.0,1.0,-19.78158312495,9.044328657662
65.73076923077,50.0,4.0,108.53846153846,249.0,53.9,240.0,300.0,1.0,-18.705462136198,9.0037447959031
65.73076923077,50.0,4.0,108.53846153846,259.0,53.9,240.0,300.0,1.0,-17.488994566957,8.8853104069052
65.73076923077,50.0,4.0,108.53846153846,139.0,58.8,240.0,300.0,0.5932,-14.428975299546,7.976644989615902
65.73076923077,50.0,4.0,108.53846153846,149.0,58.8,240.0,300.0,0.5869,-15.480368625697,9.19375422230006
65.73076923077,50.0,4.0,108.53846153846,159.0,58.8,240.0,300.0,0.5806,-17.398176201621,9.103974648515667
65.73076923077,50.0,4.0,108.53846153846,169.0,58.8,240.0,300.0,0.5761,-20.046509153043,9.031665197909284
65.73076923077,50.0,4.0,108.53846153846,179.0,58.8,240.0,300.0,0.5698,-23.508515529052,8.894378538878163
65.73076923077,50.0,4.0,108.53846153846,189.0,58.8,240.0,300.0,0.5635,-29.917649796796,8.86695850912837
65.73076923077,50.0,4.0,108.53846153846,199.0,58.8,240.0,300.0,0.5572,-56.573870132887,8.873617582431743
65.73076923077,50.0,4.0,108.53846153846,209.0,58.8,240.0,300.0,0.55,-29.528464244315,8.9874441802724
65.73076923077,50.0,4.0,108.53846153846,219.0,58.8,240.0,300.0,0.6031,-27.498719037805,8.284560067283222
65.73076923077,50.0,4.0,108.53846153846,229.0,58.8,240.0,300.0,0.5968,-36.308974890803,8.412974449251168
65.73076923077,50.0,4.0,108.53846153846,239.0,58.8,240.0,300.0,1.0,-27.387132142517,9.2478616752563
65.73076923077,50.0,4.0,108.53846153846,249.0,58.8,240.0,300.0,1.0,-25.448176995643,9.1787000945794
65.73076923077,50.0,4.0,108.53846153846,259.0,58.8,240.0,300.0,1.0,-23.893928160077,9.1055770545646
65.73076923077,50.0,4.0,108.53846153846,139.0,63.7,240.0,300.0,1.0,-16.816535792833,8.9736958410892
65.73076923077,50.0,4.0,108.53846153846,149.0,63.7,240.0,300.0,1.0,-18.631467141433,8.9771275576463
65.73076923077,50.0,4.0,108.53846153846,159.0,63.7,240.0,300.0,1.0,-20.23456281199,8.9681347698543
65.73076923077,50.0,4.0,108.53846153846,169.0,63.7,240.0,300.0,0.5671,-21.960051693763,8.960452625020075
65.73076923077,50.0,4.0,108.53846153846,179.0,63.7,240.0,300.0,0.5617,-25.649309784016,8.951529762946265
65.73076923077,50.0,4.0,108.53846153846,189.0,63.7,240.0,300.0,0.5545,-30.981012413737,8.94025791130229
65.73076923077,50.0,4.0,108.53846153846,199.0,63.7,240.0,300.0,0.5491,-54.638139565871,9.003917665839193
65.73076923077,50.0,4.0,108.53846153846,209.0,63.7,240.0,300.0,0.5437,-31.35322878509,8.99582512438145
65.73076923077,50.0,4.0,108.53846153846,219.0,63.7,240.0,300.0,0.5374,-25.597548655247,8.940015634433195
65.73076923077,50.0,4.0,108.53846153846,229.0,63.7,240.0,300.0,0.5905,-27.162158754298,8.519349237382714
65.73076923077,50.0,4.0,108.53846153846,239.0,63.7,240.0,300.0,0.5851,-44.38300949323,8.449121469103641
65.73076923077,50.0,4.0,108.53846153846,249.0,63.7,240.0,300.0,0.9892,-35.787487828569,8.793496078706196
65.73076923077,50.0,4.0,108.53846153846,259.0,63.7,240.0,300.0,0.9901,-42.73799866109,8.813892757409553
65.73076923077,50.0,4.0,108.53846153846,139.0,68.6,240.0,300.0,1.0,-19.812843655893,8.9490445798339
